user_id,event_id,tier_id,purchase_timestamp,purchase_amount,tickets_quantity,payment_card_id,ip_address,purchase_success,location,time_since_last_purchase,failed_attempts_count
user_1,event_20,tier_3,2025-06-24 03:53:37.616459,100.0,3,4cfbbf9dc6,192.168.253.58,False,Robbinsmouth,-12371.0,1
user_1,event_19,tier_2,2025-06-24 04:19:37.616459,75.0,2,9eb9b0203e,172.27.157.219,True,Port Patriciaside,,0
user_1,event_10,tier_4,2025-06-24 07:01:37.616459,150.0,1,dda0c15e02,172.21.92.207,True,Jenniferfurt,-4960.0,2
user_1,event_3,tier_4,2025-06-27 17:41:37.616459,150.0,3,916f6b5154,192.168.1.100,False,Port Jade,-5442.0,2
user_1,event_11,tier_2,2025-06-29 11:54:37.616459,75.0,3,b5e600dcd8,172.23.169.21,True,East Charlesmouth,-12688.0,0
user_1,event_3,tier_2,2025-06-30 01:56:37.616459,75.0,3,80ab01409b,10.109.116.167,True,West Ryanbury,-1216.0,1
user_1,event_2,tier_5,2025-06-30 21:40:37.616459,200.0,2,e138ed9768,192.168.1.100,True,Tylerville,-22744.0,0
user_1,event_8,tier_3,2025-06-30 22:12:37.616459,100.0,14,75ddb24216,10.108.6.205,False,Port Veronica,-464.0,1
user_1,event_6,tier_4,2025-07-01 05:56:37.616459,150.0,3,9164a9099e,192.168.223.166,True,North Christinashire,10177.0,0
user_1,event_1,tier_1,2025-07-01 12:23:37.616459,50.0,1,e120b7c075,192.168.22.197,True,New Donna,-24042.0,1
user_1,event_9,tier_2,2025-07-02 18:04:37.616459,75.0,3,c219853069,10.69.48.192,True,New Alyssa,-12953.0,0
user_1,event_10,tier_1,2025-07-04 03:19:37.616459,50.0,3,e3308db10d,192.168.1.100,True,South Tammy,14366.0,1
user_1,event_15,tier_1,2025-07-04 17:00:37.616459,50.0,2,702aa0c323,192.168.197.138,True,West Rodneyland,-16740.0,0
user_1,event_9,tier_4,2025-07-07 06:56:37.616459,150.0,3,9466f410c5,192.168.1.100,True,Beckmouth,3716.0,0
user_1,event_11,tier_2,2025-07-08 07:22:37.616459,75.0,1,d00fe6202c,192.168.33.127,True,Thomasshire,1466.0,0
user_1,event_16,tier_3,2025-07-09 18:59:37.616459,100.0,3,a01df1e844,172.18.49.194,True,Port Rachelberg,13983.0,1
user_1,event_1,tier_3,2025-07-11 17:57:37.616459,100.0,1,5e92a89c18,172.31.107.136,True,Lake Briannaborough,17643.0,0
user_1,event_16,tier_5,2025-07-16 08:00:37.616459,200.0,3,0a909f17ba,172.27.21.20,True,Debbieport,22220.0,0
user_1,event_1,tier_3,2025-07-16 16:44:37.616459,100.0,3,7d2d6213e7,172.26.114.140,True,South Tracy,-9228.0,0
user_1,event_16,tier_3,2025-07-18 05:05:37.616459,100.0,2,f7e9ce4947,192.168.224.228,True,Garzachester,12126.0,1
user_1,event_2,tier_4,2025-07-19 16:38:37.616459,150.0,2,7d3f90c62a,10.139.27.208,False,Youngport,22399.0,2
user_1,event_2,tier_4,2025-07-23 02:32:37.616459,150.0,1,c9fc282782,172.26.92.77,False,West Sylviamouth,41491.0,3
user_1,event_1,tier_1,2025-07-23 23:02:37.616459,50.0,3,8749907dac,10.117.179.139,True,Jamiebury,6144.0,2
user_10,event_5,tier_1,2025-06-24 07:17:37.616459,50.0,3,9630b5a43c,192.168.130.206,True,Jaimechester,-8802.0,1
user_10,event_18,tier_1,2025-06-25 03:57:37.616459,50.0,1,68149027f0,192.168.1.100,False,Adrienneton,-14947.0,1
user_10,event_14,tier_4,2025-06-30 09:59:37.616459,150.0,11,d9a1f9bf72,172.18.196.185,True,New Anthony,7562.0,1
user_10,event_11,tier_1,2025-06-30 12:08:37.616459,50.0,3,fd0f36edc7,172.27.99.53,True,West Robertbury,-20702.0,0
user_10,event_17,tier_1,2025-07-02 11:28:37.616459,50.0,1,6287c3e94e,10.63.76.179,True,East Joanbury,-26660.0,0
user_10,event_12,tier_2,2025-07-05 13:04:37.616459,75.0,1,188c4be9e8,172.20.54.127,True,Raymondbury,-6821.0,0
user_10,event_12,tier_5,2025-07-08 11:47:37.616459,200.0,3,2b23c6a07f,192.168.39.103,True,Port Brentborough,-10307.0,0
user_10,event_8,tier_1,2025-07-10 06:45:37.616459,50.0,1,f18a8a43dd,172.29.159.48,True,South Faith,-1138.0,0
user_10,event_4,tier_3,2025-07-11 01:43:37.616459,100.0,3,9a7ce62549,10.197.176.212,True,New Madeline,12375.0,0
user_10,event_19,tier_3,2025-07-14 21:10:37.616459,100.0,2,a5239ce03e,10.177.87.28,True,Reeveschester,9203.0,0
user_10,event_1,tier_2,2025-07-15 15:34:37.616459,75.0,1,13640d68be,10.181.93.232,True,Port Jason,,0
user_10,event_17,tier_5,2025-07-20 23:48:37.616459,200.0,2,2354522675,192.168.55.37,True,Frankville,29500.0,0
user_11,event_18,tier_2,2025-06-24 02:55:37.616459,75.0,11,9ce1028979,192.168.86.110,True,North Lisachester,-34901.0,1
user_11,event_4,tier_2,2025-06-24 20:45:37.616459,75.0,3,9a2f67602f,172.21.115.85,True,Richardburgh,,0
user_11,event_14,tier_1,2025-06-25 03:13:37.616459,50.0,1,daf90f1718,192.168.89.118,True,Smithview,-16007.0,0
user_11,event_19,tier_4,2025-06-26 09:25:37.616459,150.0,3,db401be796,10.138.228.44,True,West Stephaniebury,-24163.0,1
user_11,event_10,tier_1,2025-06-29 05:33:37.616459,50.0,1,0b7de6c7d9,192.168.143.155,False,West Donaldberg,-10521.0,2
user_11,event_12,tier_2,2025-06-29 13:26:37.616459,75.0,1,dfddaede23,172.29.248.170,True,North Wyatt,-21965.0,0
user_11,event_14,tier_4,2025-06-29 21:37:37.616459,150.0,3,6957efd475,172.21.107.204,True,South Brentton,-4596.0,0
user_11,event_10,tier_3,2025-06-30 09:52:37.616459,100.0,1,f9604b8a96,10.64.135.62,True,Ortizborough,-24101.0,0
user_11,event_5,tier_1,2025-07-03 02:13:37.616459,50.0,3,ccfc2fb579,10.128.154.228,True,Martinborough,-2830.0,0
user_11,event_15,tier_3,2025-07-03 14:45:37.616459,100.0,2,88e046a333,192.168.244.242,True,West Stephen,12212.0,0
user_11,event_10,tier_1,2025-07-03 21:17:37.616459,50.0,3,68911ff029,172.24.9.92,True,Chadtown,14062.0,1
user_11,event_16,tier_4,2025-07-05 01:23:37.616459,150.0,1,b6d4c7cf64,10.90.136.131,True,North Ronaldland,7917.0,0
user_11,event_19,tier_4,2025-07-06 06:00:37.616459,150.0,3,b11281df13,192.168.97.43,True,New Joseshire,16395.0,0
user_11,event_12,tier_5,2025-07-06 12:54:37.616459,200.0,1,0c914aded9,172.20.93.39,True,West Benjaminville,-2502.0,1
user_11,event_19,tier_2,2025-07-08 06:36:37.616459,75.0,2,515ae53f35,172.21.230.96,True,Dillonton,-19820.0,1
